id;application_name;module_name;action_name;suggested_priority;message
1;Ergonomic black;Credit Card Account revolutionary;bypass;INFO;Salad
2;Senior mobile;Illinois Licensed tan;revolutionary auxiliary IB;ERROR;protocol Applications Corporate
3;Computers strategy Graphic Interface;red Sierra Leone Cotton;seamless Jewelery;FATAL;virtual
4;sticky;applications Ergonomic Home Loan Account;Handmade Steel Chips;WARNING;Avon deposit Customer
5;Central Soft;Berkshire;Ergonomic Granite Car Lead Generic Concrete Bacon;ERROR;project
6;Mobility withdrawal;Specialist;turquoise Maryland;WARNING;Crossing USB
7;Savings Account;multi-state 1080p Movies;invoice;FATAL;Money Market Account generate
8;zero administration Cambridgeshire rich;Personal Loan Account SMS needs-based;Greens virtual;FATAL;Azerbaijan neural
9;distributed Virginia Gloves;override;Garden;DEBUG;Implemented supply-chains parallelism
10;Chicken;Tasty;Kids Steel standardization;WARNING;gold RAM Saudi Arabia
